order_item_id,order_id,product_id,quantity
1,263,17,2
2,17,16,2
3,169,17,2
4,159,13,1
5,30,1,3
6,147,7,3
7,38,15,1
8,35,5,1
9,43,20,3
10,66,18,3
11,43,16,3
12,98,2,3
13,119,17,1
14,34,13,3
15,246,13,3
16,46,2,1
17,67,6,2
18,12,19,1
19,254,12,1
20,98,10,2
21,258,5,3
22,71,7,3
23,273,16,1
24,227,11,2
25,197,9,3
26,285,18,3
27,264,13,1
28,143,16,3
29,286,16,3
30,205,11,1
31,183,20,3
32,187,6,3
33,191,3,2
34,37,2,3
35,251,6,1
36,169,2,3
37,169,16,1
38,254,12,3
39,248,13,1
40,285,17,1
41,267,16,2
42,134,9,3
43,277,1,3
44,292,7,3
45,64,2,2
46,124,8,3
47,293,6,1
48,94,13,1
49,166,8,2
50,179,19,2
51,31,7,1
52,127,11,3
53,277,13,1
54,215,6,1
55,66,8,3
56,283,4,2
57,207,17,1
58,158,7,1
59,122,13,1
60,160,9,3
61,108,17,3
62,17,8,3
63,7,2,1
64,102,3,1
65,110,20,1
66,197,9,3
67,49,16,1
68,74,9,3
69,294,11,2
70,151,5,2
71,56,7,2
72,126,1,1
73,213,11,1
74,201,19,1
75,71,2,1
76,67,12,2
77,63,13,1
78,12,8,2
79,36,18,1
80,230,2,3
81,84,5,3
82,43,13,2
83,38,17,2
84,43,4,2
85,225,7,2
86,34,19,3
87,37,7,3
88,49,18,2
89,257,4,2
90,39,5,3
91,216,8,1
92,278,8,2
93,4,6,3
94,32,7,3
95,268,1,3
96,125,17,2
97,141,15,1
98,223,20,2
99,102,2,3
100,104,10,2
101,295,6,2
102,94,10,3
103,223,18,3
104,75,9,3
105,286,10,3
106,246,12,1
107,186,14,3
108,106,16,1
109,284,19,1
110,250,10,2
111,93,1,1
112,9,20,1
113,137,10,1
114,120,13,1
115,256,15,2
116,236,11,3
117,32,8,2
118,19,5,2
119,252,3,3
120,206,1,1
121,108,18,3
122,61,7,3
123,36,20,1
124,9,5,2
125,196,14,2
126,294,2,3
127,297,13,3
128,98,12,1
129,127,3,3
130,185,14,1
131,232,7,2
132,73,19,1
133,123,18,2
134,170,7,3
135,120,3,2
136,107,11,1
137,99,16,1
138,30,9,1
139,164,1,3
140,150,3,3
141,8,2,3
142,76,18,1
143,92,12,2
144,39,8,3
145,80,18,2
146,250,12,1
147,66,5,2
148,110,13,1
149,160,12,3
150,28,19,2
151,237,14,2
152,173,1,2
153,273,19,1
154,212,19,1
155,132,15,1
156,233,6,1
157,169,4,1
158,164,7,3
159,67,11,1
160,57,15,3
161,123,10,2
162,70,18,1
163,168,11,1
164,14,8,3
165,234,8,3
166,107,14,1
167,195,11,3
168,245,9,2
169,158,13,2
170,239,11,3
171,69,12,1
172,23,9,2
173,114,9,2
174,28,20,3
175,3,10,1
176,162,2,2
177,42,20,1
178,167,6,1
179,269,16,3
180,223,3,3
181,71,12,3
182,19,10,2
183,167,6,3
184,76,18,2
185,92,1,2
186,122,20,1
187,39,10,3
188,27,13,2
189,4,20,2
190,38,16,2
191,176,9,2
192,238,8,2
193,99,6,3
194,8,2,1
195,154,18,2
196,84,17,3
197,31,5,1
198,227,3,1
199,156,11,2
200,239,10,3
201,294,20,2
202,70,5,1
203,215,20,3
204,59,1,3
205,40,10,1
206,199,5,2
207,167,17,1
208,97,13,3
209,121,14,2
210,155,2,2
211,137,2,1
212,204,19,3
213,211,17,3
214,281,5,1
215,148,7,2
216,287,16,3
217,35,5,2
218,225,19,1
219,236,16,2
220,296,11,3
221,98,12,2
222,195,11,2
223,186,13,3
224,262,7,1
225,281,13,1
226,213,6,1
227,70,8,1
228,203,15,3
229,42,20,1
230,176,16,3
231,220,3,3
232,184,2,3
233,170,2,1
234,300,14,2
235,213,13,3
236,170,5,3
237,277,20,3
238,243,15,1
239,157,12,3
240,137,4,3
241,59,9,1
242,139,5,3
243,194,7,2
244,46,13,1
245,30,11,2
246,203,8,3
247,178,19,2
248,84,15,2
249,156,18,1
250,5,16,2
251,125,20,1
252,140,19,1
253,140,4,3
254,123,1,3
255,254,14,2
256,164,19,1
257,126,13,1
258,176,5,3
259,186,2,1
260,27,1,2
261,53,11,3
262,1,17,1
263,233,8,1
264,59,13,3
265,128,2,3
266,296,11,3
267,290,17,2
268,176,5,2
269,125,8,2
270,198,8,2
271,139,12,3
272,87,6,2
273,85,1,1
274,196,2,2
275,252,15,2
276,150,13,1
277,170,8,3
278,160,6,2
279,28,8,3
280,223,17,1
281,13,4,2
282,42,1,3
283,157,18,2
284,236,7,1
285,48,17,3
286,61,16,1
287,163,13,1
288,179,12,2
289,70,13,3
290,297,16,2
291,283,16,3
292,165,17,1
293,114,13,3
294,45,12,1
295,115,5,3
296,288,12,2
297,120,20,2
298,186,1,3
299,265,14,1
300,144,15,2
